date,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR,PS,CLOUD_AMT
20210101,3.58,3.72,85.01,5.15,16.23,102.7,68.88
20210102,6.15,6.28,88.02,7.12,3.13,101.17,76.41
20210103,1.84,4.21,92.54,7.26,8.93,101.53,96.97
20210104,5.79,3.82,87.46,4.89,0.98,101.37,89.72
20210105,3.46,3.44,81.72,4.35,0.09,101.22,96.4
20210106,8.44,2.47,81.5,7.56,0.0,101.49,35.55
20210107,9.71,1.69,79.04,7.11,0.0,101.82,2.68
20210108,6.36,0.95,80.34,5.83,0.0,101.47,70.73
20210109,8.27,0.18,77.66,8.03,0.01,101.17,51.68
20210110,9.68,1.32,78.2,5.7,0.0,102.18,31.65
20210111,4.55,1.15,79.94,2.55,0.01,102.42,63.89
20210112,9.67,2.74,78.0,3.14,0.15,101.92,13.43
20210113,6.33,3.36,75.66,3.62,0.01,101.56,70.55
20210114,5.86,4.57,90.98,2.05,0.08,100.97,88.51
20210115,3.49,5.68,94.54,7.61,7.99,101.17,98.04
20210116,5.25,6.05,90.29,5.83,23.19,99.7,82.4
20210117,7.23,3.77,81.23,8.82,0.02,100.35,64.94
20210118,7.52,4.0,81.83,7.15,0.08,100.77,49.74
20210119,7.53,2.74,80.23,6.98,0.03,101.74,49.75
20210120,7.14,1.72,75.6,6.39,0.85,101.37,81.14
20210121,8.9,1.97,75.32,5.36,0.0,100.75,34.3
20210122,7.14,3.81,80.14,7.32,0.01,100.61,63.91
20210123,10.19,-0.74,72.39,9.78,0.01,101.71,44.66
20210124,11.25,-1.64,73.73,8.19,0.0,102.08,44.28
20210125,8.12,-0.24,71.5,4.23,0.0,101.9,81.43
20210126,1.98,2.0,87.41,6.2,5.09,101.27,94.33
20210127,4.86,2.01,84.68,5.69,0.22,101.48,95.29
20210128,11.39,-1.54,75.47,10.2,0.05,101.76,46.0
20210129,12.13,-5.52,78.25,11.4,0.05,101.98,13.28
20210130,12.72,-3.86,77.47,6.55,0.0,102.52,9.59
20210131,3.85,-2.96,81.31,5.14,2.75,102.38,96.76
20210201,1.63,1.28,94.94,14.35,24.78,100.69,94.96
20210202,3.73,1.1,92.27,9.6,6.44,99.48,94.08
20210203,6.06,-0.05,84.72,7.14,0.58,99.93,89.78
20210204,12.75,0.66,84.12,6.2,0.01,100.99,40.53
20210205,9.67,3.45,88.16,5.68,0.55,100.6,71.07
20210206,12.55,2.34,77.02,6.29,0.0,101.61,67.53
20210207,2.09,1.42,90.19,6.83,14.25,101.36,81.19
20210208,13.33,-3.82,72.85,5.18,0.0,102.75,37.2
20210209,1.96,0.83,84.29,4.05,1.87,102.23,80.96
20210210,12.23,-1.62,76.13,3.86,0.37,102.54,73.63
20210211,6.84,-1.06,81.38,4.91,2.51,102.36,99.38
20210212,5.28,-2.75,68.52,4.42,0.0,102.59,84.78
20210213,4.86,-1.7,79.19,6.43,1.14,102.4,92.24
20210214,6.43,1.06,87.24,4.91,0.22,102.21,92.99
20210215,3.43,1.27,90.29,5.83,2.78,102.02,95.69
20210216,8.72,5.21,89.36,7.9,20.56,100.51,71.96
20210217,12.43,-1.63,69.33,5.85,0.03,102.61,51.9
20210218,2.85,-0.57,85.34,7.13,9.24,102.66,92.51
20210219,5.8,0.39,92.68,6.77,7.18,101.79,93.44
20210220,12.76,-1.16,82.15,7.49,0.24,101.95,41.79
20210221,15.83,-1.35,74.1,5.34,0.01,103.09,26.87
20210222,2.72,1.62,87.37,6.71,17.41,101.61,94.34
20210223,5.93,2.51,90.58,6.4,0.69,100.59,78.16
20210224,15.08,4.25,86.58,6.74,0.0,101.35,49.75
20210225,17.34,4.14,78.48,6.37,0.0,101.77,19.98
20210226,14.53,2.82,69.72,3.54,0.0,102.91,80.18
20210227,7.81,5.81,94.25,6.19,8.55,102.09,87.13
20210228,3.02,4.45,93.22,4.3,8.85,102.1,99.43
20210301,4.59,4.96,87.9,5.99,11.4,100.59,82.99
20210302,17.89,-1.33,65.76,9.77,0.0,101.97,11.07
20210303,16.77,3.7,79.27,5.26,0.0,101.21,17.25
20210304,13.98,2.7,75.25,7.64,0.0,100.97,32.58
20210305,18.59,-0.36,67.59,8.91,0.0,101.21,13.95
20210306,10.97,0.5,72.34,6.12,0.02,101.83,84.73
20210307,18.52,0.5,68.56,4.77,0.0,102.58,22.92
20210308,18.09,0.81,65.97,4.54,0.0,102.93,27.95
20210309,15.99,6.06,79.1,5.91,0.0,102.65,35.71
20210310,16.65,5.22,90.01,4.38,0.0,103.09,40.99
20210311,16.81,8.3,94.24,6.14,0.0,102.25,56.4
20210312,16.04,10.17,78.09,5.86,0.11,101.72,60.7
20210313,20.77,3.75,65.8,6.9,0.0,102.22,7.04
20210314,18.71,4.19,68.83,8.66,0.01,101.56,14.79
20210315,21.34,-0.51,61.35,8.22,0.0,102.53,26.72
20210316,5.56,0.82,67.71,3.76,2.67,102.38,98.94
20210317,7.79,4.49,91.46,2.61,0.45,102.03,97.83
20210318,2.63,5.51,95.71,5.16,31.48,101.2,99.65
20210319,21.05,1.98,69.55,9.54,7.07,102.11,40.23
20210320,21.87,4.68,67.2,3.16,0.01,103.27,0.47
20210321,21.63,5.81,79.36,2.83,0.0,103.24,0.91
20210322,21.88,6.64,87.07,3.1,0.0,102.81,0.56
20210323,18.6,6.42,95.89,3.73,0.56,102.41,54.74
20210324,5.52,7.73,97.21,5.52,22.96,101.93,95.16
20210325,10.39,10.39,95.75,3.59,1.83,101.62,91.01
20210326,15.92,12.47,85.91,8.71,1.17,100.8,54.01
20210327,19.62,9.55,81.49,4.2,0.01,101.9,49.49
20210328,3.74,10.14,93.28,7.6,31.84,100.63,90.88
20210329,22.33,7.43,69.24,8.07,0.01,101.58,30.28
20210330,23.08,7.74,82.32,5.19,0.0,102.68,19.81
20210331,6.87,10.14,93.12,6.9,5.46,101.65,98.97
20210401,14.7,6.89,78.06,8.63,2.02,100.95,73.38
20210402,16.65,1.35,68.09,6.78,0.01,102.13,45.46
20210403,24.54,4.51,61.63,4.59,0.0,102.51,24.42
20210404,20.08,8.51,73.02,3.34,0.0,101.72,45.82
20210405,24.53,9.5,72.89,6.41,0.0,101.32,22.54
20210406,24.46,10.08,70.22,4.61,0.0,101.3,15.87
20210407,18.03,10.42,78.49,3.07,0.39,101.47,49.38
20210408,23.81,10.88,79.68,2.4,0.0,101.82,5.1
20210409,12.5,8.83,91.8,2.71,0.05,101.99,94.18
20210410,13.75,11.22,94.02,2.88,0.22,101.33,96.52
20210411,3.98,10.17,96.13,6.0,12.21,100.25,98.1
20210412,5.31,8.02,90.0,6.19,13.76,100.71,99.21
20210413,22.83,9.93,80.47,3.49,0.85,101.56,47.03
20210414,14.99,10.96,87.23,3.82,0.06,101.46,63.65
20210415,6.71,10.02,95.18,3.92,20.01,100.53,94.16
20210416,13.58,7.86,81.29,6.28,1.01,100.32,82.9
20210417,12.38,8.76,77.95,3.23,0.07,100.7,93.74
20210418,17.83,10.4,80.95,3.14,0.05,100.93,80.65
20210419,14.81,11.25,83.62,2.55,0.18,100.98,61.64
20210420,23.51,11.87,84.08,6.35,0.03,101.18,32.43
20210421,14.64,10.22,79.51,9.2,3.07,100.52,67.65
20210422,20.87,5.46,65.88,8.6,0.02,101.08,67.42
20210423,27.35,8.35,68.99,6.67,0.0,101.47,21.45
20210424,22.99,10.8,77.07,4.62,0.0,101.38,52.78
20210425,13.68,10.49,86.03,5.33,15.54,100.61,78.9
20210426,28.71,8.5,66.7,7.28,0.01,101.54,9.23
20210427,22.19,9.77,70.22,2.87,0.03,101.63,80.73
20210428,21.36,14.8,89.87,3.19,0.19,100.87,88.27
20210429,9.47,16.46,93.39,4.4,4.55,100.26,99.81
20210430,20.91,13.5,71.88,9.07,0.15,99.82,69.43
20210501,28.59,9.89,67.21,7.01,0.04,101.02,30.9
20210502,19.84,14.39,80.26,5.92,0.47,100.73,84.26
20210503,7.11,12.37,93.22,3.35,6.26,100.9,99.47
20210504,16.85,12.99,91.58,3.55,5.16,100.61,95.04
20210505,9.06,12.24,92.74,3.57,8.1,100.54,85.46
20210506,27.35,12.05,72.62,4.76,0.01,101.22,49.39
20210507,20.83,11.33,80.55,4.27,0.02,101.14,84.84
20210508,11.9,10.3,84.82,2.82,2.29,101.09,82.54
20210509,13.93,10.22,83.76,4.78,7.17,101.48,74.81
20210510,14.32,11.54,83.78,3.26,2.41,101.04,87.81
20210511,23.57,11.98,75.39,4.49,0.04,101.61,66.41
20210512,27.43,11.7,70.89,4.76,0.0,102.01,29.01
20210513,27.84,13.02,69.1,3.51,0.0,102.17,16.92
20210514,27.71,14.34,72.29,3.27,0.0,102.2,15.83
20210515,23.87,14.79,77.32,2.96,0.01,102.28,39.68
20210516,17.2,15.25,76.76,2.88,0.12,102.36,89.39
20210517,26.22,15.9,79.0,2.91,0.05,102.43,17.79
20210518,28.31,16.74,76.63,5.1,0.0,102.46,10.49
20210519,28.5,18.7,73.89,3.39,0.0,102.44,26.48
20210520,26.5,15.63,79.03,3.47,0.0,103.02,16.14
20210521,28.12,16.19,81.77,3.62,0.0,103.05,29.57
20210522,18.51,20.42,81.29,3.65,0.01,102.0,93.55
20210523,24.1,21.25,79.31,4.97,0.04,101.28,71.55
20210524,14.67,15.42,73.74,5.05,0.0,102.36,97.1
20210525,22.93,16.35,79.1,5.5,0.0,102.25,62.82
20210526,23.07,19.32,91.19,5.91,2.33,101.47,64.93
20210527,29.65,20.16,77.11,4.11,0.72,101.27,39.3
20210528,14.2,14.63,77.48,8.17,24.12,101.45,84.74
20210529,5.33,10.71,87.59,10.38,43.7,101.44,99.86
20210530,5.83,11.35,90.83,8.57,35.73,101.89,97.01
20210531,22.49,13.97,78.8,4.05,0.07,102.16,55.17
20210601,20.21,15.92,81.61,3.83,0.0,102.34,94.35
20210602,17.13,15.97,88.82,3.37,0.04,102.23,99.29
20210603,11.45,17.14,95.59,4.9,8.8,101.61,99.54
20210604,14.08,18.8,95.12,3.94,4.39,101.21,76.19
20210605,28.64,20.92,85.7,4.72,0.14,101.26,6.59
20210606,28.66,21.83,85.13,4.36,0.05,101.6,14.99
20210607,21.75,21.12,92.37,4.3,0.7,101.74,54.74
20210608,16.23,21.37,95.59,3.7,8.06,101.6,98.44
20210609,23.51,22.81,88.55,2.72,1.67,101.4,78.25
20210610,25.89,20.11,79.94,5.5,0.04,101.51,41.46
